"","country_name","country_iso2","week","category","weekly_rank","show_title","season_title","cumulative_weeks_in_top_10"
"293","South Korea","KR",2022-11-13,"TV",3,"I am Solo","I am Solo: Part 9 - Part 12",18
"294","South Korea","KR",2022-11-13,"TV",4,"Behind Every Star","Behind Every Star: Season 1",1
"295","South Korea","KR",2022-11-13,"TV",5,"Hospital Playlist","Hospital Playlist: Season 1",18
"296","South Korea","KR",2022-11-13,"TV",6,"Hospital Playlist","Hospital Playlist: Season 2",20
"297","South Korea","KR",2022-11-13,"TV",7,"Missing: The Other Side","N/A",5
"298","South Korea","KR",2022-11-13,"TV",8,"Little Women","Little Women: Season 1",10
"299","South Korea","KR",2022-11-13,"TV",9,"Guardian: The Lonely and Great God","Guardian: The Lonely and Great God: Season 1",14
"300","South Korea","KR",2022-11-13,"TV",10,"Narco-Saints","Narco-Saints: Season 1",10
"301","South Korea","KR",2022-11-06,"Films",1,"20th Century Girl","N/A",3
"302","South Korea","KR",2022-11-06,"Films",2,"All Quiet on the Western Front","N/A",2
"303","South Korea","KR",2022-11-06,"Films",3,"Enola Holmes 2","N/A",1
"304","South Korea","KR",2022-11-06,"Films",4,"The Takeover","N/A",1
"305","South Korea","KR",2022-11-06,"Films",5,"The School for Good and Evil","N/A",3
"306","South Korea","KR",2022-11-06,"Films",6,"Morbius","N/A",3
"307","South Korea","KR",2022-11-06,"Films",7,"The Good Nurse","N/A",2
"308","South Korea","KR",2022-11-06,"Films",8,"The Bad Guys","N/A",1
"309","South Korea","KR",2022-11-06,"Films",9,"Wild Is the Wind","N/A",1
"310","South Korea","KR",2022-11-06,"Films",10,"Run","N/A",2
"311","South Korea","KR",2022-11-06,"TV",1,"Under the Queen's Umbrella","Under the Queen's Umbrella: Season 1",3
